00:00:00 - 00:00:05this is the other side of Kirk Franklin,00:00:00,this is the other side of Kirk Franklin
00:00:02 - 00:00:09[Applause],00:00:02,[Applause]
00:00:05 - 00:00:13prank this is the rec,00:00:05,prank this is the rec
00:00:09 - 00:00:172024 all my grinding all my life,00:00:09,2024 all my grinding all my life
00:00:13 - 00:00:19sacrifice the price a slice got the roll,00:00:13,sacrifice the price a slice got the roll
00:00:17 - 00:00:21of dice that&#39;s why all my life i&#39; been,00:00:17,of dice that&#39;s why all my life i&#39; been
00:00:19 - 00:00:25grinding all my life all my life,00:00:19,grinding all my life all my life
00:00:21 - 00:00:28grinding all my life sacrifice hustle P,00:00:21,grinding all my life sacrifice hustle P
00:00:25 - 00:00:30the price want a slice got the roll a,00:00:25,the price want a slice got the roll a
00:00:28 - 00:00:32dice that&#39;s why all my life I rning on,00:00:28,dice that&#39;s why all my life I rning on
00:00:30 - 00:00:32my,00:00:30,my
00:00:33 - 00:00:37life hello welcome to another episode of,00:00:33,life hello welcome to another episode of
00:00:35 - 00:00:39Club sh Shay I am your host Shannon,00:00:35,Club sh Shay I am your host Shannon
00:00:37 - 00:00:41sharp I&#39;m also the proprietor of Club sh,00:00:37,sharp I&#39;m also the proprietor of Club sh
00:00:39 - 00:00:42the guy that&#39;s stopping by for,00:00:39,the guy that&#39;s stopping by for
00:00:41 - 00:00:44conversation and the drink today ladies,00:00:41,conversation and the drink today ladies
00:00:42 - 00:00:47and gentlemen you&#39;re going to love him,00:00:42,and gentlemen you&#39;re going to love him
00:00:44 - 00:00:49some call him the greatest the greatest,00:00:44,some call him the greatest the greatest
00:00:47 - 00:00:51one of the greatest comedians Dead or,00:00:47,one of the greatest comedians Dead or
00:00:49 - 00:00:52Alive one of America&#39;s greatest,00:00:49,Alive one of America&#39;s greatest
00:00:51 - 00:00:54entertainers one of the funniest men on,00:00:51,entertainers one of the funniest men on
00:00:52 - 00:00:57the planet world-renowned multi-talented,00:00:52,the planet world-renowned multi-talented
00:00:54 - 00:00:59a comedy Legend he&#39;s touring he&#39;s the,00:00:54,a comedy Legend he&#39;s touring he&#39;s the
00:00:57 - 00:01:01top touring comedian selling out Arenas,00:00:57,top touring comedian selling out Arenas
00:00:59 - 00:01:03he&#39;s a hilarious Storyteller Emy,00:00:59,he&#39;s a hilarious Storyteller Emy
00:01:01 - 00:01:06awardwinning actor voice actor rapper,00:01:01,awardwinning actor voice actor rapper
00:01:03 - 00:01:08writer producer director icon genius a,00:01:03,writer producer director icon genius a
00:01:06 - 00:01:11National Treasure philanthropist,00:01:06,National Treasure philanthropist
00:01:08 - 00:01:13humanitarian social activist a father,00:01:08,humanitarian social activist a father
00:01:11 - 00:01:16one of the great funny men of Our,00:01:11,one of the great funny men of Our
00:01:13 - 00:01:19Generation and any Generation Mr Cat,00:01:13,Generation and any Generation Mr Cat
00:01:16 - 00:01:21Williams thank you sir that was,00:01:16,Williams thank you sir that was
00:01:19 - 00:01:24magnificent you are you,00:01:19,magnificent you are you
00:01:21 - 00:01:26are you are magnificent at intros and,00:01:21,are you are magnificent at intros and
00:01:24 - 00:01:28you did not skimp on mine I appreciate,00:01:24,you did not skimp on mine I appreciate
00:01:26 - 00:01:30it appreciate that you know anytime you,00:01:26,it appreciate that you know anytime you
00:01:28 - 00:01:33come to club sh Shay we have to toast,00:01:28,come to club sh Shay we have to toast
00:01:30 - 00:01:34yes bro you&#39;ve been doing it I mean you,00:01:30,yes bro you&#39;ve been doing it I mean you
00:01:33 - 00:01:36told you one of the top tour you&#39;re the,00:01:33,told you one of the top tour you&#39;re the
00:01:34 - 00:01:38one of the top touring comedians of all,00:01:34,one of the top touring comedians of all
00:01:36 - 00:01:40time you already got started before we,00:01:36,time you already got started before we
00:01:38 - 00:01:40started,00:01:38,started
00:01:40 - 00:01:45taping I did appreciate that tell the,00:01:40,taping I did appreciate that tell the
00:01:43 - 00:01:47people at home I thought they was lying,00:01:43,people at home I thought they was lying
00:01:45 - 00:01:52and,00:01:45,and
00:01:47 - 00:01:57um yeah this particular,00:01:47,um yeah this particular
00:01:52 - 00:02:00alcohol is stronger than you think it,00:01:52,alcohol is stronger than you think it
00:01:57 - 00:02:02would be probably by about two,00:01:57,would be probably by about two
00:02:00 - 00:02:05and,00:02:00,and
00:02:02 - 00:02:10unbelievably smoother and,00:02:02,unbelievably smoother and
00:02:05 - 00:02:13milder by the same maybe 30% than you,00:02:05,milder by the same maybe 30% than you
00:02:10 - 00:02:16could possibly expect and unlike knacs,00:02:10,could possibly expect and unlike knacs
00:02:13 - 00:02:18the world over this one doesn&#39;t taste,00:02:13,the world over this one doesn&#39;t taste
00:02:16 - 00:02:20like wood at the end and it doesn&#39;t,00:02:16,like wood at the end and it doesn&#39;t
00:02:18 - 00:02:22taste like it&#39;s got artificial colors,00:02:18,taste like it&#39;s got artificial colors
